Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Nereis Succinea,1,0,0,46,46,0.0,0.4368,0.0005
Paranaitis Speciosa,1,0,0,37,37,0.0,0.425,0.0005
Paraprionospio Pinnata,1,0,0,37,37,0.0,0.425,0.0005
Pectinaria Gouldii,1,0,0,39,39,0.0,0.4282,0.0005
Pherusa Affinis,1,0,0,38,38,0.0,0.4257,0.0005
Phyllodoce Fragilis,1,0,0,37,37,0.0,0.425,0.0005
Polydora Aggregata,1,0,0,37,37,0.0,0.425,0.0005
Polydora Ligni,1,0,0,37,37,0.0,0.425,0.0005
Polydora Cornuta,1,0,0,38,38,0.0,0.4257,0.0005
Praxillella Praetermissa,1,0,0,38,38,0.0,0.4257,0.0005
Pseudoeurythoe Paucibranchiata,1,0,0,37,37,0.0,0.425,0.0005
Sabaco Elongatus,1,0,0,38,38,0.0,0.4257,0.0005
Sabellaria Vulgaris,1,0,0,37,37,0.0,0.425,0.0005
Scolecolepides Viridis,1,0,0,38,38,0.0,0.4257,0.0005
Scolelepis Squamata,1,0,0,37,37,0.0,0.425,0.0005
Scoloplos Robustus,1,0,0,38,38,0.0,0.4257,0.0005
Sigambra Tentaculata,1,0,0,38,38,0.0,0.4257,0.0005
Spio Setosa,1,0,0,37,37,0.0,0.425,0.0005
Spiochaetopterus Oculatus,1,0,0,37,37,0.0,0.425,0.0005
Spiophanes Bombyx,1,0,0,37,37,0.0,0.425,0.0005
Streblospio Benedicti,1,0,0,39,39,0.0,0.4263,0.0005
Cancer Irroratus,1,0,125,31,156,944.64,0.4979,0.003
Pagurus Annulipes,1,0,0,30,30,0.0,0.425,0.0005
Panopeus Herbsti,1,0,0,30,30,0.0,0.4263,0.0005
Pagurus Pollicaris,1,0,0,29,29,0.0,0.4241,0.0005
Upogebia Affinis,1,0,0,31,31,0.0,0.4257,0.0005
Palaemonetes Pugio,1,0,86,42,128,1021.86,0.5114,0.0015
Palaemonetes Intermedius,1,0,86,39,125,694.08,0.5074,0.0015
Palaemonetes Vulgaris,1,0,86,44,130,878.75,0.5114,0.0015
Ovalipes Ocellatus,1,0,125,34,159,1010.04,0.4996,0.0026
Callinectes Similis,1,0,0,31,31,0.0,0.4348,0.0005
Pagurus Longicarpus,1,0,0,28,28,0.0,0.4232,0.0005
Squilla Empusa,1,0,0,36,36,0.0,0.4342,0.0005
Sesarma Reticulatum,1,0,0,29,29,0.0,0.4238,0.0005
Uca Pugnax,1,0,0,30,30,0.0,0.4257,0.0005
Uca Minax,1,0,0,29,29,0.0,0.425,0.0005
Uca Pugilator,1,0,0,29,29,0.0,0.425,0.0005
Crangon Septemspinosa,1,0,0,28,28,0.0,0.4232,0.0005
Callinectes Sapidus,1,0,73,41,114,992.3,0.4883,0.0015
Rhithropanopeus Harrisii,1,0,0,30,30,0.0,0.4313,0.0005
Ampelisca Verrilli,1,0,0,52,52,0.0,0.4606,0.0005
Ampelisca Vadorum,1,0,0,50,50,0.0,0.458,0.0005
Ampithoe Longimana,1,0,0,49,49,0.0,0.457,0.0005
Batea Catharinensis,1,0,0,49,49,0.0,0.457,0.0005
Caprella Penantis,1,0,50,49,99,1085.11,0.4912,0.0009
Cerapus Tubularis,1,0,0,49,49,0.0,0.457,0.0005
Corophium Tuberculatum,1,0,0,49,49,0.0,0.457,0.0005
Cymadusa Compta,1,0,0,49,49,0.0,0.457,0.0005
Elasmopus Levis,1,0,0,49,49,0.0,0.457,0.0005
Gammarus Mucronatus,1,0,0,53,53,0.0,0.4595,0.0005
Jassa Falcata,1,0,0,49,49,0.0,0.457,0.0005
Melita Appendiculata,1,0,0,49,49,0.0,0.457,0.0005
Rudilemboides Naglei,1,0,0,49,49,0.0,0.457,0.0005
Stenothoe Minuta,1,0,0,51,51,0.0,0.458,0.0005
Pleusymtes Glaber,1,0,0,51,51,0.0,0.458,0.0005
Mysidopsis Bigelowi,1,0,76,35,111,1028.19,0.521,0.0016
Apocorophium Lacustre,1,0,0,51,51,0.0,0.4584,0.0005
Monocorophium Insidiosum,1,0,0,49,49,0.0,0.457,0.0005
Gammarus Fasciatus,1,0,0,52,52,0.0,0.4588,0.0005
Gammarus Daiberi,1,0,0,53,53,0.0,0.4595,0.0005
Gammarus Tigrinus,1,0,0,52,52,0.0,0.4588,0.0005
Hyalella Azteca,1,0,0,51,51,0.0,0.4624,0.0005
Lembos Smithi,1,0,0,50,50,0.0,0.458,0.0005
Lepidactylus Dytiscus,1,0,0,49,49,0.0,0.457,0.0005
Leptocheirus Plumulosus,1,0,0,51,51,0.0,0.458,0.0005
Marinogammarus Stoerensis,1,0,0,50,50,0.0,0.458,0.0005
Melita Nitida,1,0,0,50,50,0.0,0.458,0.0005
Microprotopus Raneyi,1,0,0,49,49,0.0,0.457,0.0005
Monoculodes Edwardsi,1,0,0,50,50,0.0,0.4577,0.0005
Paracaprella Tenuis,1,0,0,49,49,0.0,0.457,0.0005
Photis Reinhardi,1,0,0,50,50,0.0,0.458,0.0005
Podoceropsis Nitida,1,0,0,50,50,0.0,0.458,0.0005
Siphonoecetes Smithianus,1,0,0,51,51,0.0,0.458,0.0005
Unciola Irrorata,1,0,0,50,50,0.0,0.458,0.0005
Acetes Americanus,1,0,0,130,130,0.0,0.5127,0.0005
Alpheus Heterochaelis,1,0,0,29,29,0.0,0.425,0.0005
Alpheus Normanni,1,0,0,29,29,0.0,0.425,0.0005
Arenaeus Cribrarius,1,0,0,29,29,0.0,0.4272,0.0005
Emerita Talpoida,1,0,0,29,29,0.0,0.425,0.0005
Euceramus Praelongus,1,0,0,29,29,0.0,0.425,0.0005
Eurypanopeus Depressus,1,0,0,29,29,0.0,0.425,0.0005
Hexapanopeus Angustifrons,1,0,0,29,29,0.0,0.425,0.0005
Hippolyte Pleuracantha,1,0,0,29,29,0.0,0.425,0.0005
Lepidopa Websteri,1,0,0,29,29,0.0,0.425,0.0005
Libinia Emarginata,1,0,0,29,29,0.0,0.4244,0.0005
Lucifer Faxoni,1,0,0,28,28,0.0,0.4232,0.0005
Lysmata Wurdemanni,1,0,0,28,28,0.0,0.4232,0.0005
Macrobrachium Ohione,1,0,0,28,28,0.0,0.4232,0.0005
Naushonia Crangonoides,1,0,0,28,28,0.0,0.4232,0.0005
Dyspanopeus Sayi,1,0,0,29,29,0.0,0.4269,0.0005
Dyspanopeus Texanus,1,0,0,30,30,0.0,0.4269,0.0005
Ogyrides Limicola,1,0,0,29,29,0.0,0.425,0.0005
Penaeus Aztecus,1,0,0,29,29,0.0,0.425,0.0005
Pinnixa Chaetopterana,1,0,0,28,28,0.0,0.4232,0.0005
Pinnotheres Maculatus,1,0,0,28,28,0.0,0.4232,0.0005
Polyonyx Gibbesi,1,0,0,28,28,0.0,0.4232,0.0005
Portunus Gibbesii,1,0,0,31,31,0.0,0.4263,0.0005
Rhithropanopeus Hermandii,1,0,0,28,28,0.0,0.4232,0.0005
Bowmaniella Dissimilis,1,0,76,34,110,1006.36,0.5168,0.0016
